Category,Ticker,Year,InitialInvestment,TotalGains,InvestmentGrowth,PeriodVolatility,CoefficientOfVariation
gainers,AAPL,0.5,1000,341.3600459999998,34.13600459999998,11.480505377494667,5.918779654283036
gainers,AAPL,0.5,2000,451.2800299999999,22.564001499999993,11.480505377494667,5.918779654283036
gainers,AAPL,0.5,3000,408.4600059999998,13.615333533333326,11.480505377494667,5.918779654283036
gainers,AAPL,1,1000,455.50997799999936,45.550997799999934,21.748905452813766,11.284826097507626
gainers,AAPL,1,2000,788.5199890000004,39.42599945000001,21.748905452813766,11.284826097507626
gainers,AAPL,1,3000,919.1400139999996,30.638000466666654,21.748905452813766,11.284826097507626
gainers,AAPL,2,1000,981.9700890000004,98.19700890000004,20.178770631733975,10.976376182256757
gainers,AAPL,2,2000,1797.020078,89.85100390000001,20.178770631733975,10.976376182256757
gainers,AAPL,2,3000,2205.6500209999995,73.52166736666665,20.178770631733975,10.976376182256757
gainers,AAPL,3,1000,1318.8200540000012,131.8820054000001,31.448369446145424,18.92136675451078
gainers,AAPL,3,2000,2750.4599659999985,137.52299829999993,31.448369446145424,18.92136675451078
gainers,AAPL,3,3000,3619.1501819999985,120.63833939999995,31.448369446145424,18.92136675451078
gainers,AAPL,4,1000,2124.8900190000018,212.48900190000018,38.212172039763516,25.32585524534537
gainers,AAPL,4,2000,3284.8700720000006,164.24350360000005,38.212172039763516,25.32585524534537
gainers,AAPL,4,3000,4103.86009,136.79533633333335,38.212172039763516,25.32585524534537
gainers,AAPL,5,1000,2645.5399939999993,264.55399939999995,37.02568740195402,25.684741859578093
gainers,AAPL,5,2000,3997.470064000003,199.87350320000016,37.02568740195402,25.684741859578093
gainers,AAPL,5,3000,4405.000086000002,146.83333620000005,37.02568740195402,25.684741859578093
gainers,TSLA,0.5,1000,406.5699479999996,40.656994799999964,31.292439099205037,12.697669546001455
gainers,TSLA,0.5,2000,379.340013,18.96700065,31.292439099205037,12.697669546001455
gainers,TSLA,0.5,3000,337.9099299999998,11.263664333333328,31.292439099205037,12.697669546001455
gainers,TSLA,1,1000,950.1898980000001,95.01898980000001,46.01702332025022,16.402420453980884
gainers,TSLA,1,2000,1021.9199070000004,51.095995350000024,46.01702332025022,16.402420453980884
gainers,TSLA,1,3000,1093.6000069999982,36.45333356666661,46.01702332025022,16.402420453980884
gainers,TSLA,2,1000,861.2100250000001,86.1210025,43.28631997510713,14.295886132774596
gainers,TSLA,2,2000,2088.690025000001,104.43450125000004,43.28631997510713,14.295886132774596
gainers,TSLA,2,3000,2805.4999560000006,93.51666520000002,43.28631997510713,14.295886132774596
gainers,TSLA,3,1000,2820.6500019999994,282.06500019999993,53.00359197833788,18.285061610918817
gainers,TSLA,3,2000,3553.929944999998,177.6964972499999,53.00359197833788,18.285061610918817
gainers,TSLA,3,3000,4281.700053000001,142.72333510000004,53.00359197833788,18.285061610918817
gainers,TSLA,4,1000,2951.650214999999,295.1650214999999,55.807723241920776,20.46238408866139
gainers,TSLA,4,2000,4567.150025000003,228.35750125000013,55.807723241920776,20.46238408866139
gainers,TSLA,4,3000,4859.370123999999,161.9790041333333,55.807723241920776,20.46238408866139
gainers,TSLA,5,1000,3321.640019999998,332.1640019999998,53.50312676332757,20.185048975451146
gainers,TSLA,5,2000,5203.6901990000015,260.18450995000006,53.50312676332757,20.185048975451146
gainers,TSLA,5,3000,5231.4900489999945,174.38300163333315,53.50312676332757,20.185048975451146
gainers,FB,0.5,1000,361.90004100000033,36.19000410000003,12.292065254418555,6.749105388328521
gainers,FB,0.5,2000,425.3399690000001,21.266998450000006,12.292065254418555,6.749105388328521
gainers,FB,0.5,3000,469.34997800000065,15.644999266666687,12.292065254418555,6.749105388328521
gainers,FB,1,1000,489.7600120000002,48.97600120000002,19.624729189797005,11.72802490310105
gainers,FB,1,2000,887.1599860000006,44.35799930000003,19.624729189797005,11.72802490310105
gainers,FB,1,3000,1137.8600029999998,37.92866676666666,19.624729189797005,11.72802490310105
gainers,FB,2,1000,916.3500090000007,91.63500090000007,17.276070129422106,9.954705875726603
gainers,FB,2,2000,1390.009982,69.5004991,17.276070129422106,9.954705875726603
gainers,FB,2,3000,1705.70003,56.85666766666666,17.276070129422106,9.954705875726603
gainers,FB,3,1000,1508.0500100000004,150.80500100000003,23.548007722125902,14.564880661420462
gainers,FB,3,2000,2226.3100400000003,111.31550200000002,23.548007722125902,14.564880661420462
gainers,FB,3,3000,2969.9500530000014,98.99833510000005,23.548007722125902,14.564880661420462
gainers,FB,4,1000,2252.7700429999995,225.27700429999996,31.46648298022974,21.242483947842526
gainers,FB,4,2000,3244.549862,162.2274931,31.46648298022974,21.242483947842526
gainers,FB,4,3000,4293.329973000002,143.11099910000004,31.46648298022974,21.242483947842526
gainers,FB,5,1000,2838.0199579999985,283.8019957999999,39.140606748082426,29.084578057465222
gainers,FB,5,2000,4770.779961000002,238.53899805000012,39.140606748082426,29.084578057465222
gainers,FB,5,3000,5410.260036000005,180.34200120000017,39.140606748082426,29.084578057465222
gainers,INTC,0.5,1000,26.489992999999913,2.6489992999999914,4.063412139934883,8.090506962407941
gainers,INTC,0.5,2000,42.419996999999285,2.1209998499999645,4.063412139934883,8.090506962407941
gainers,INTC,0.5,3000,70.69999300000063,2.3566664333333542,4.063412139934883,8.090506962407941
gainers,INTC,1,1000,248.20999499999994,24.820999499999992,3.4313811444357087,7.03914065027946
gainers,INTC,1,2000,87.88000300000022,4.394000150000011,3.4313811444357087,7.03914065027946
gainers,INTC,1,3000,229.71998799999938,7.657332933333312,3.4313811444357087,7.03914065027946
gainers,INTC,2,1000,396.2699919999991,39.62699919999991,4.839046506128121,10.107414003470044
gainers,INTC,2,2000,399.670012999999,19.98350064999995,4.839046506128121,10.107414003470044
gainers,INTC,2,3000,400.1399890000016,13.337999633333386,4.839046506128121,10.107414003470044
gainers,INTC,3,1000,642.3700020000003,64.23700020000004,6.933331611565824,15.80902802289609
gainers,INTC,3,2000,869.0499860000023,43.45249930000011,6.933331611565824,15.80902802289609
gainers,INTC,3,3000,856.3800170000018,28.546000566666724,6.933331611565824,15.80902802289609
gainers,INTC,4,1000,747.2900010000001,74.72900010000001,7.999102803086981,19.574180519468346
gainers,INTC,4,2000,1074.799986,53.739999299999994,7.999102803086981,19.574180519468346
gainers,INTC,4,3000,799.5099660000019,26.650332200000065,7.999102803086981,19.574180519468346
gainers,INTC,5,1000,929.4800050000008,92.94800050000008,7.863580416224907,20.000219727779086
gainers,INTC,5,2000,1522.8600200000005,76.14300100000003,7.863580416224907,20.000219727779086
gainers,INTC,5,3000,870.5900320000032,29.019667733333442,7.863580416224907,20.000219727779086
gainers,MSFT,0.5,1000,208.43000200000006,20.843000200000006,9.281313176967698,7.32275054711555
gainers,MSFT,0.5,2000,181.91998099999955,9.095999049999978,9.281313176967698,7.32275054711555
gainers,MSFT,0.5,3000,240.31000000000085,8.010333333333362,9.281313176967698,7.32275054711555
gainers,MSFT,1,1000,395.36996899999986,39.53699689999999,12.035144292024238,10.270047631861228
gainers,MSFT,1,2000,625.970001000001,31.29850005000005,12.035144292024238,10.270047631861228
gainers,MSFT,1,3000,634.100010000001,21.136667000000035,12.035144292024238,10.270047631861228
gainers,MSFT,2,1000,918.0799740000002,91.80799740000002,17.399819279649112,16.765288235355776
gainers,MSFT,2,2000,1377.7399689999997,68.88699845,17.399819279649112,16.765288235355776
gainers,MSFT,2,3000,1163.5599819999998,38.78533273333333,17.399819279649112,16.765288235355776
gainers,MSFT,3,1000,1404.280014,140.4280014,23.51640874258331,25.940144930292107
gainers,MSFT,3,2000,2377.3700290000006,118.86850145000002,23.51640874258331,25.940144930292107
gainers,MSFT,3,3000,2917.149972000001,97.23833240000003,23.51640874258331,25.940144930292107
gainers,MSFT,4,1000,1973.7699849999995,197.37699849999996,26.51207480376274,32.77158435114031
gainers,MSFT,4,2000,3014.7599180000016,150.73799590000007,26.51207480376274,32.77158435114031
gainers,MSFT,4,3000,4140.980056,138.03266853333332,26.51207480376274,32.77158435114031
gainers,MSFT,5,1000,2304.249982,230.4249982,27.623745873481155,37.42194946164526
gainers,MSFT,5,2000,3745.7000470000003,187.28500235,27.623745873481155,37.42194946164526
gainers,MSFT,5,3000,5040.190002000003,168.0063334000001,27.623745873481155,37.42194946164526
gainers,NVDA,0.5,1000,410.63003400000025,41.06300340000003,14.678209297536593,8.904922140022748
gainers,NVDA,0.5,2000,396.0000040000009,19.800000200000046,14.678209297536593,8.904922140022748
gainers,NVDA,0.5,3000,484.57000800000105,16.152333600000034,14.678209297536593,8.904922140022748
gainers,NVDA,1,1000,592.93001,59.293001000000004,43.938841850013205,24.205703632112392
gainers,NVDA,1,2000,716.8800240000014,35.84400120000007,43.938841850013205,24.205703632112392
gainers,NVDA,1,3000,979.7000150000017,32.65666716666672,43.938841850013205,24.205703632112392
gainers,NVDA,2,1000,1238.3800500000007,123.83800500000007,42.45638902152472,21.001813013780257
gainers,NVDA,2,2000,1786.3799359999994,89.31899679999998,42.45638902152472,21.001813013780257
gainers,NVDA,2,3000,1754.2399990000004,58.47466663333335,42.45638902152472,21.001813013780257
gainers,NVDA,3,1000,3428.399893999999,342.8399893999999,59.37694024043757,34.78026112343763
gainers,NVDA,3,2000,2901.0901010000016,145.05450505000007,59.37694024043757,34.78026112343763
gainers,NVDA,3,3000,6384.8399240000035,212.82799746666677,59.37694024043757,34.78026112343763
gainers,NVDA,4,1000,7975.159943000001,797.5159943,78.10888614197368,57.08023303116284
gainers,NVDA,4,2000,14513.519957999993,725.6759978999996,78.10888614197368,57.08023303116284
gainers,NVDA,4,3000,17942.159913999985,598.0719971333328,78.10888614197368,57.08023303116284
gainers,NVDA,5,1000,11306.109948999996,1130.6109948999997,83.9285998918494,73.91894044513181
gainers,NVDA,5,2000,19525.67997399999,976.2839986999996,83.9285998918494,73.91894044513181
gainers,NVDA,5,3000,24735.099914999988,824.5033304999996,83.9285998918494,73.91894044513181
losers,ADS,0.5,1000,156.7999870000001,15.679998700000011,13.269185445751544,8.503184336320604
losers,ADS,0.5,2000,196.55998199999976,9.827999099999989,13.269185445751544,8.503184336320604
losers,ADS,0.5,3000,183.07000700000071,6.102333566666691,13.269185445751544,8.503184336320604
losers,ADS,1,1000,316.85998699999936,31.685998699999935,32.195093707777374,18.09839701871096
losers,ADS,1,2000,225.54997299999968,11.277498649999984,32.195093707777374,18.09839701871096
losers,ADS,1,3000,323.8700120000003,10.795667066666677,32.195093707777374,18.09839701871096
losers,ADS,2,1000,549.369999,54.9369999,36.047896528022555,17.704368495000388
losers,ADS,2,2000,716.3399690000001,35.81699845000001,36.047896528022555,17.704368495000388
losers,ADS,2,3000,1061.3599620000005,35.37866540000002,36.047896528022555,17.704368495000388
losers,ADS,3,1000,1232.6499789999998,123.26499789999998,34.02803804998788,15.945016805095955
losers,ADS,3,2000,1355.1301069999986,67.75650534999993,34.02803804998788,15.945016805095955
