Date,Open,High,Low,Close,Adj Close,Volume
2014-08-18,3.650000,3.650000,3.630000,3.650000,3.288853,13600
2014-08-19,3.660000,3.660000,3.660000,3.660000,3.297864,2000
2014-08-20,3.650000,3.650000,3.650000,3.650000,3.288853,1500
2014-08-21,3.620000,3.620000,3.620000,3.620000,3.261822,1200
2014-08-22,3.630000,3.670000,3.630000,3.670000,3.306874,2400
2014-08-25,3.770000,3.770000,3.770000,3.770000,3.396980,1300
2014-08-26,3.700000,3.720000,3.700000,3.720000,3.351928,1200
2014-08-27,3.720000,3.720000,3.720000,3.720000,3.351928,0
2014-08-28,3.700000,3.700000,3.690000,3.690000,3.324895,2900
2014-08-29,3.690000,3.690000,3.680000,3.680000,3.315885,7500
2014-09-02,3.640000,3.650000,3.610000,3.610000,3.252811,1300
2014-09-03,3.730000,3.740000,3.730000,3.730000,3.360938,15200
2014-09-04,3.710000,3.710000,3.710000,3.710000,3.342917,4700
2014-09-05,3.710000,3.710000,3.710000,3.710000,3.342917,0
2014-09-08,3.600000,3.630000,3.600000,3.630000,3.270832,2000
2014-09-09,3.630000,3.630000,3.630000,3.630000,3.270832,0
2014-09-10,3.630000,3.630000,3.630000,3.630000,3.270832,0
2014-09-11,3.610000,3.710000,3.610000,3.710000,3.342917,1900
2014-09-12,3.690000,3.750000,3.690000,3.750000,3.378959,14200
2014-09-15,3.750000,3.750000,3.750000,3.750000,3.378959,0
2014-09-16,3.680000,3.720000,3.680000,3.710000,3.342917,23700
2014-09-17,3.710000,3.710000,3.710000,3.710000,3.342917,0
2014-09-18,3.810000,3.890000,3.810000,3.820000,3.442033,48700
2014-09-19,3.820000,3.820000,3.820000,3.820000,3.442033,0
2014-09-22,3.770000,3.840000,3.770000,3.840000,3.460054,2500
2014-09-23,3.740000,3.740000,3.710000,3.710000,3.342917,11200
2014-09-24,3.710000,3.710000,3.710000,3.710000,3.342917,0
2014-09-25,3.710000,3.710000,3.710000,3.710000,3.342917,0
2014-09-26,3.710000,3.710000,3.710000,3.710000,3.342917,0
2014-09-29,3.740000,3.740000,3.740000,3.740000,3.369949,300
2014-09-30,3.740000,3.740000,3.740000,3.740000,3.369949,0
2014-10-01,3.650000,3.650000,3.640000,3.650000,3.288853,3300
2014-10-02,3.650000,3.650000,3.650000,3.650000,3.288853,0
2014-10-03,3.620000,3.620000,3.620000,3.620000,3.261822,12600
2014-10-06,3.620000,3.620000,3.620000,3.620000,3.261822,0
2014-10-07,3.770000,3.770000,3.770000,3.770000,3.396980,100
2014-10-08,3.660000,3.660000,3.640000,3.640000,3.279843,3000
2014-10-09,3.620000,3.670000,3.570000,3.670000,3.306874,7500
